project_slug,milestone_order,milestone_title,milestone_description,due_date,due_quarter,department_code,push_number,is_critical,status
hog-bayou,1,Complete sampling,"Complete sampling",2025-12-31,Q4 2025,PM,,TRUE,PLANNED
hog-bayou,2,Secure participation of at least three key community leaders,"Secure participation of at least three key community leaders",2025-12-31,EOY 2025,CE,,TRUE,PLANNED
hog-bayou,3,Obtain definitive response from ADEM on intent to issue TMDL,"Obtain definitive response from ADEM on intent to issue TMDL",2025-12-31,EOY 2025,GA,,TRUE,PLANNED
hog-bayou,4,Release public report on sampling results and regulatory findings,"Release public report on sampling results and regulatory findings",2026-06-30,Q2 2026,COMMS,,TRUE,PLANNED
hog-bayou,5,Host public forum with 50+ attendees to present findings and demand TMDL action,"Host public forum with 50+ attendees to present findings and demand TMDL action",2026-09-30,Q3 2026,CE,,TRUE,PLANNED
hog-bayou,6,Secure voluntary remediation commitment from at least one industrial facility (if necessary),"Secure voluntary remediation commitment from at least one industrial facility (if necessary)",2026-12-31,Q4 2026,PM,,TRUE,PLANNED
hog-bayou,7,Develop and submit formal policy recommendations on TMDL approach (if necessary),"Develop and submit formal policy recommendations on TMDL approach (if necessary)",2026-12-31,Q4 2026,GA,,TRUE,PLANNED
hog-bayou,8,Finalize public access agreements with relevant landowners (if necessary),"Finalize public access agreements with relevant landowners (if necessary)",2027-09-30,Q3 2027,GA,,TRUE,PLANNED
hog-bayou,9,Conduct enforcement review and initiate penalties for non-compliant facilities (if necessary),"Conduct enforcement review and initiate penalties for non-compliant facilities (if necessary)",2027-09-30,Q3 2027,GA,,TRUE,PLANNED
hog-bayou,10,File legal action if ADEM has not committed to a TMDL (if necessary),"File legal action if ADEM has not committed to a TMDL (if necessary)",2028-03-31,Q1 2028,GA,,TRUE,PLANNED
hog-bayou,11,Complete project; open public access to Hog Bayou,"Complete project; open public access to Hog Bayou",2029-12-31,Q4 2029,PM,,TRUE,PLANNED
