project_slug,priority_order,audience,text
prichard-wastewater,1,EXTERNAL,Prichard residents face 49x more sewage pollution than neighbors
prichard-wastewater,2,EXTERNAL,Every family deserves safe, clean water
prichard-wastewater,3,EXTERNAL,"Our leaders (Prichard govt, State govt, Federal govt, court appointed receiver) haven't done their duty to protect the people of Prichard from pollution"
prichard-wastewater,4,EXTERNAL,Prichard has a plan to repair the system and needs $400 million over 20 years to fix the problem
prichard-wastewater,5,EXTERNAL,"ADEM keeps telling the public that “federal rules” prevent Alabama from giving Prichard support from the State Revolving Fund, but federal law does not say that"
prichard-wastewater,6,EXTERNAL,Federal drinking water law gives Alabama permission to help struggling systems like Prichard as long as the funds are tied to a real fix and better management
prichard-wastewater,7,EXTERNAL,"If EPA clearly confirms this, it will show that helping or not helping Prichard is a choice Alabama is making, not something Washington is forcing"
prichard-wastewater,8,EXTERNAL,Prichard deserves the same access to state and federal water funds that other communities receive
prichard-wastewater,9,EXTERNAL,"ADEM has money, has the authority to do more than they're doing, and failure to act harms not only the citizens of prichard but the entire Coastal Alabama area."
